PRECIO,DELEGACION,T_HABITACION,MIN_NOCHES,N_COMENTARIOS,COMENTARIOSXMES,N_VECES_HOST_LISTADO,DISPONIBILIDAD,CLUSTER
803,4,2,2,10,0.15,3,68,1
344,4,1,3,7,0.17,3,111,3
344,6,1,2,1,0.02,1,359,3
4053,2,2,10,6,0.09,4,173,1
631,1,1,2,84,1.14,1,61,3
401,4,1,3,17,0.26,2,296,3
803,1,2,180,50,0.68,6,364,5
554,1,1,6,20,0.27,3,0,3
746,2,1,5,19,0.27,4,179,3
516,1,1,1,148,2.01,8,3,7
2294,3,2,3,21,0.44,1,0,1
325,2,1,1,2,0.03,4,136,3
210,2,1,1,11,0.28,2,356,3
822,3,2,3,14,0.2,13,10,1
937,3,2,3,15,0.21,13,10,1
421,1,1,1,159,2.18,8,3,7
382,1,1,2,28,4.31,1,0,3
1721,1,2,3,92,1.38,40,84,2
1051,3,2,5,15,0.44,1,306,5
3556,3,2,4,24,0.6,2,346,5
306,2,1,1,1,0.09,4,204,3
746,4,2,2,6,0.09,2,201,1
497,4,1,1,3,0.06,1,363,3
593,11,1,2,33,0.5,2,318,0
1816,3,2,6,44,0.77,1,31,1
593,4,1,3,189,2.81,1,161,7
401,4,1,3,26,0.37,2,296,3
249,4,2,2,19,1.92,1,292,5
1625,3,1,2,116,1.73,1,365,7
191,3,1,2,4,0.06,5,314,3
1510,1,2,3,43,0.63,17,193,2
3231,1,2,1,125,1.82,6,294,7
937,4,2,2,80,1.12,2,102,1
1396,1,2,3,226,3.18,3,86,7
306,4,1,3,20,0.29,3,111,3
421,3,1,2,27,1.72,1,50,3
1434,1,2,3,68,1.02,3,319,5
1625,1,2,2,189,2.64,1,262,7
1243,1,2,1,225,3.16,7,335,7
2294,3,2,2,67,0.95,10,337,5
1491,3,2,7,35,0.5,11,133,1
440,1,1,1,42,0.65,8,3,3
2390,1,2,1,106,1.5,4,356,5
574,4,1,1,136,1.92,1,324,7
1051,1,2,2,153,2.17,4,170,7
860,2,1,30,3,0.18,1,90,3
2179,1,2,2,259,3.72,3,337,7
956,1,1,1,12,0.17,8,365,3
554,2,1,2,99,1.4,2,332,3
765,2,2,1,2,0.03,4,265,5
784,4,2,2,36,0.52,2,338,5
1606,1,2,3,210,2.97,3,123,7
3001,11,1,1,23,0.34,5,306,0
612,3,2,5,39,0.55,13,92,1
421,1,1,2,97,1.39,1,235,3
1893,3,2,3,52,0.78,13,137,1
918,3,1,1,21,0.3,2,0,3
1243,1,1,1,121,1.75,16,349,7
1338,1,2,1,7,0.44,1,365,5
1606,1,2,3,193,2.77,3,111,7
2390,3,2,2,11,0.17,1,365,5
650,2,2,3,46,1.38,2,351,5
1529,1,2,6,45,0.65,1,361,5
765,4,2,2,56,0.99,2,338,5
1873,1,2,2,164,2.45,1,320,7
1701,1,2,1,145,2.11,2,82,7
1453,1,2,3,90,1.33,1,340,5
707,4,2,2,88,1.47,1,80,1
2600,11,1,1,29,0.42,5,304,0
2198,11,1,1,34,0.53,5,303,0
1338,1,2,1,146,2.2,13,301,7
612,1,1,3,16,0.24,1,266,3
1243,1,1,1,145,2.1,16,320,7
1740,1,2,3,68,1.01,1,364,5
898,4,2,3,74,1.1,1,324,5
1128,1,1,1,222,3.24,16,337,7
229,2,1,1,90,2.62,3,10,3
1912,1,2,2,225,3.36,2,216,7
2007,1,2,3,69,1.05,40,80,2
